ANameE,Year,Votes,Party,TotalVote,Perc,TotalPop,PercIB,PercAV
Tainan City,2016,670608,DPP,1005693,66.681,1885390,1.239,65.81
Changhua County,2016,378736,DPP,681581,55.567,1288696,1.602,66.63
Pingtung County,2016,285297,DPP,454951,62.709,841669,1.23,66.01
Yunlin County,2016,218842,DPP,350122,62.504,699793,1.427,61.84
Miaoli County,2016,130461,DPP,290680,44.881,564111,1.256,64.81
Chiayi County,2016,182913,DPP,284102,64.383,520119,1.512,65.93
Hsinchu County,2016,114023,DPP,271939,41.93,541527,1.398,65.89
Nantou County,2016,136104,DPP,264225,51.511,509738,1.381,63.65
Yilan County,2016,144798,DPP,236490,61.228,458070,1.348,64.05
Hsinchu City,2016,113386,DPP,224493,50.508,433774,1.398,68.32
Keelung City,2016,93402,DPP,196146,47.619,372226,1.24,63.99
Hualien County,2016,57198,DPP,157185,36.389,332033,1.49,58.68
Chiayi City,2016,83143,DPP,140383,59.226,270415,1.063,66.61
Taitung County,2016,37517,DPP,98871,37.945,222645,1.222,55.07
Penghu County,2016,21658,DPP,43266,50.058,102317,1.486,51.37
Jinmen County,2016,6626,DPP,37404,17.715,132532,1.601,33.58
Lianjiang County,2016,739,DPP,4553,16.231,12546,1.867,44.46
