"省市別","縣市別","選區別","鄉鎮市區","村里別","號次","名字","政黨代號","性別","出生日期","年齡","出生地","學歷","現任","當選註記","副手"
0,0,0,0,0,1,"陳履安",98,1,26,62,"  ","  ","N"," "," "
0,0,0,0,0,1,"王清峰",98,2,41,60,"  ","  ","N"," ","Y"
0,0,0,0,0,2,"李登輝",1,1,12,68,"  ","  ","Y","*"," "
0,0,0,0,0,2,"連戰",1,1,35,62,"  ","  ","N","*","Y"
0,0,0,0,0,3,"彭明敏",2,1,12,63,"  ","  ","N"," "," "
0,0,0,0,0,3,"謝長廷",2,1,25,64,"  ","  ","N"," ","Y"
0,0,0,0,0,4,"林洋港",98,1,16,65,"  ","  ","N"," "," "
0,0,0,0,0,4,"郝柏村",98,1,8,66,"  ","  ","N"," ","Y"
