V1,V2,V3,V4,V5,AName
4,0,0,10,0,下營區
5,0,0,10,0,阿蓮區
6,1,0,10,0,三星鄉
6,2,0,10,0,龍潭鄉
6,3,0,10,0,寶山鄉
6,4,0,10,0,三灣鄉
6,5,0,10,0,芳苑鄉
6,6,0,10,0,竹山鎮
6,7,0,10,0,水林鄉
6,8,0,10,0,大林鎮
6,9,0,10,0,泰武鄉
6,10,0,10,0,大武鄉
6,11,0,10,0,瑞穗鄉
1,0,0,11,0,信義區
2,0,0,11,0,樹林區
3,0,0,11,0,大里區
4,0,0,11,0,六甲區
5,0,0,11,0,田寮區
6,1,0,11,0,大同鄉
6,2,0,11,0,八德市
6,3,0,11,0,峨眉鄉
6,4,0,11,0,南庄鄉
6,5,0,11,0,二林鎮
6,6,0,11,0,鹿谷鄉
6,7,0,11,0,北港鎮
6,8,0,11,0,梅山鄉
6,9,0,11,0,竹田鄉
6,10,0,11,0,綠島鄉
6,11,0,11,0,玉里鎮
1,0,0,12,0,文山區
2,0,0,12,0,鶯歌區
3,0,0,12,0,后里區
4,0,0,12,0,官田區
5,0,0,12,0,燕巢區
6,1,0,12,0,南澳鄉
6,2,0,12,0,大溪鎮
6,3,0,12,0,尖石鄉
6,4,0,12,0,苗栗市
6,5,0,12,0,埔鹽鄉
6,6,0,12,0,水里鄉
6,7,0,12,0,崙背鄉
6,8,0,12,0,新港鄉
6,9,0,12,0,萬巒鄉
6,10,0,12,0,海端鄉
6,11,0,12,0,富里鄉
2,0,0,13,0,板橋區
3,0,0,13,0,神岡區
4,0,0,13,0,七股區
5,0,0,13,0,大社區
6,2,0,13,0,復興鄉
6,3,0,13,0,五峰鄉
6,4,0,13,0,頭屋鄉
6,5,0,13,0,溪湖鎮
6,6,0,13,0,信義鄉
6,7,0,13,0,二崙鄉
6,8,0,13,0,民雄鄉
6,9,0,13,0,潮州鎮
6,10,0,13,0,延平鄉
6,11,0,13,0,卓溪鄉
2,0,0,14,0,中和區
3,0,0,14,0,大雅區
4,0,0,14,0,佳里區
5,0,0,14,0,大樹區
6,4,0,14,0,獅潭鄉
6,5,0,14,0,埔心鄉
6,7,0,14,0,西螺鎮
6,8,0,14,0,竹崎鄉
6,9,0,14,0,屏東市
6,10,0,14,0,金峰鄉
2,0,0,15,0,永和區
3,0,0,15,0,潭子區
4,0,0,15,0,麻豆區
5,0,0,15,0,茄萣區
6,4,0,15,0,公館鄉
6,5,0,15,0,大城鄉
6,7,0,15,0,莿桐鄉
6,8,0,15,0,中埔鄉
6,9,0,15,0,麟洛鄉
6,10,0,15,0,達仁鄉
2,0,0,16,0,土城區
3,0,0,16,0,西屯區
4,0,0,16,0,善化區
5,0,0,16,0,湖內區
6,4,0,16,0,大湖鄉
6,5,0,16,0,竹塘鄉
6,7,0,16,0,林內鄉
6,8,0,16,0,番路鄉
6,9,0,16,0,萬丹鄉
6,10,0,16,0,蘭嶼鄉
2,0,0,17,0,三峽區
3,0,0,17,0,南屯區
4,0,0,17,0,大內區
5,0,0,17,0,路竹區
6,4,0,17,0,泰安鄉
6,5,0,17,0,埤頭鄉
6,7,0,17,0,斗六市
6,8,0,17,0,阿里山鄉
6,9,0,17,0,新園鄉
2,0,0,18,0,新店區
3,0,0,18,0,北屯區
4,0,0,18,0,玉井區
5,0,0,18,0,永安區
6,4,0,18,0,卓蘭鎮
6,5,0,18,0,北斗鎮
6,7,0,18,0,大埤鄉
6,8,0,18,0,大埔鄉
6,9,0,18,0,崁頂鄉
2,0,0,19,0,深坑區
3,0,0,19,0,北區
4,0,0,19,0,楠西區
5,0,0,19,0,岡山區
6,5,0,19,0,溪州鄉
6,7,0,19,0,斗南鎮
6,9,0,19,0,南州鄉
2,0,0,20,0,石碇區
3,0,0,20,0,西區
4,0,0,20,0,西港區
5,0,0,20,0,彌陀區
6,5,0,20,0,大村鄉
6,7,0,20,0,古坑鄉
6,9,0,20,0,新埤鄉
2,0,0,21,0,坪林區
3,0,0,21,0,中區
4,0,0,21,0,安定區
5,0,0,21,0,梓官區
6,5,0,21,0,員林鎮
6,9,0,21,0,來義鄉
2,0,0,22,0,烏來區
3,0,0,22,0,東區
4,0,0,22,0,新市區
5,0,0,22,0,橋頭區
6,5,0,22,0,永靖鄉
6,9,0,22,0,東港鎮
2,0,0,23,0,金山區
3,0,0,23,0,南區
4,0,0,23,0,山上區
5,0,0,23,0,楠梓區
6,5,0,23,0,社頭鄉
6,9,0,23,0,林邊鄉
2,0,0,24,0,萬里區
3,0,0,24,0,太平區
4,0,0,24,0,新化區
5,0,0,24,0,左營區
6,5,0,24,0,田尾鄉
6,9,0,24,0,佳冬鄉
2,0,0,25,0,汐止區
3,0,0,25,0,豐原區
4,0,0,25,0,左鎮區
5,0,0,25,0,仁武區
6,5,0,25,0,田中鎮
6,9,0,25,0,枋寮鄉
2,0,0,26,0,平溪區
3,0,0,26,0,石岡區
4,0,0,26,0,南化區
5,0,0,26,0,鳥松區
6,5,0,26,0,二水鄉
6,9,0,26,0,春日鄉
2,0,0,27,0,瑞芳區
3,0,0,27,0,新社區
4,0,0,27,0,安南區
5,0,0,27,0,大寮區
6,9,0,27,0,枋山鄉
2,0,0,28,0,雙溪區
3,0,0,28,0,東勢區
4,0,0,28,0,北區
5,0,0,28,0,林園區
6,9,0,28,0,獅子鄉
2,0,0,29,0,貢寮區
3,0,0,29,0,和平區
4,0,0,29,0,中西區
5,0,0,29,0,鼓山區
6,9,0,29,0,牡丹鄉
4,0,0,30,0,安平區
5,0,0,30,0,鹽埕區
6,9,0,30,0,車城鄉
4,0,0,31,0,南區
5,0,0,31,0,旗津區
6,9,0,31,0,滿州鄉
4,0,0,32,0,東區
5,0,0,32,0,三民區
6,9,0,32,0,恆春鎮
4,0,0,33,0,永康區
5,0,0,33,0,前金區
6,9,0,33,0,琉球鄉
4,0,0,34,0,仁德區
5,0,0,34,0,新興區
4,0,0,35,0,歸仁區
5,0,0,35,0,苓雅區
4,0,0,36,0,關廟區
5,0,0,36,0,前鎮區
4,0,0,37,0,龍崎區
5,0,0,37,0,鳳山區
5,0,0,38,0,小港區
1,0,0,1,1,建民里
2,0,0,1,1,德茂里
3,0,0,1,1,朝陽里
4,0,0,1,1,後壁里
5,0,0,1,1,寶山里
6,1,0,1,1,南門里
6,2,0,1,1,新興村
6,3,0,1,1,鹿場里
6,4,0,1,1,竹南里
6,5,0,1,1,大同村
6,6,0,1,1,玉峰里
6,7,0,1,1,麥豐村
6,8,0,1,1,蒜頭村
6,9,0,1,1,玉田村
6,10,0,1,1,文化里
6,11,0,1,1,民德里
6,12,0,1,1,復興里
6,13,0,1,1,長潭里
6,14,0,1,1,育賢里、三民里
6,15,0,1,1,短竹里
7,1,0,1,1,東門里
7,2,0,1,1,介壽村
1,0,0,1,2,文林里
2,0,0,1,2,富基里
3,0,0,1,2,大甲里
4,0,0,1,2,侯伯里
5,0,0,1,2,建山里
6,1,0,1,2,負郭里
6,2,0,1,2,中福村
6,3,0,1,2,東平里
6,4,0,1,2,照南里
6,5,0,1,2,海尾村
6,6,0,1,2,明正里
6,7,0,1,2,麥津村
6,8,0,1,2,蒜東村
6,9,0,1,2,塔樓村
6,10,0,1,2,民族里
6,11,0,1,2,民勤里
6,12,0,1,2,長安里
6,13,0,1,2,砂子里
6,14,0,1,2,親仁里
6,15,0,1,2,蘭潭里
7,1,0,1,2,南門里
7,2,0,1,2,復興村、福沃村
1,0,0,1,3,石牌里
2,0,0,1,3,老梅里
3,0,0,1,3,順天里
4,0,0,1,3,嘉苳里
5,0,0,1,3,高中里
6,1,0,1,3,民族里
6,2,0,1,3,新莊村
6,3,0,1,3,中興里
6,4,0,1,3,正南里
6,5,0,1,3,全興村
6,6,0,1,3,炎峰里
6,7,0,1,3,瓦磘村
6,8,0,1,3,蒜南村
6,9,0,1,3,潮厝村
6,10,0,1,3,自強里
6,11,0,1,3,民意里
6,12,0,1,3,中央里
6,13,0,1,3,八斗里
6,14,0,1,3,東門里
6,15,0,1,3,東川里
7,1,0,1,3,西門里
7,2,0,1,3,清水村、仁愛村、津沙村、馬祖村、珠螺村、四維村
1,0,0,1,4,福興里
2,0,0,1,4,山溪里
3,0,0,1,4,孔門里
4,0,0,1,4,土溝里
5,0,0,1,4,桃源里
6,1,0,1,4,建軍里
6,2,0,1,4,上竹村
6,3,0,1,4,隘口里
6,4,0,1,4,新南里
6,5,0,1,4,溪底村
6,6,0,1,4,中正里
6,7,0,1,4,興華村
6,8,0,1,4,工廠村
6,9,0,1,4,大平村
6,10,0,1,4,民生里
6,11,0,1,4,民心里
6,12,0,1,4,啟明里
6,13,0,1,4,碧砂里
6,14,0,1,4,成功里
6,15,0,1,4,鹿寮里
7,1,0,1,4,北門里
7,2,0,2,4,塘岐村、后沃村、橋仔村
1,0,0,1,5,榮光里
2,0,0,1,5,石門里
3,0,0,1,5,平安里
4,0,0,1,5,嘉田里
5,0,0,1,5,勤和里
6,1,0,1,5,復興里
6,2,0,1,5,宏竹村
6,3,0,1,5,東海里
6,4,0,1,5,大厝里
6,5,0,1,5,定興村
6,6,0,1,5,和平里
6,7,0,1,5,海豐村
6,8,0,1,5,灣南村
6,9,0,1,5,永春村
