ANameE,Year,Votes,Party
Changhua County,2000,191685,KMT
Nantou County,2000,56025,KMT
Yunlin County,2000,102177,KMT
Chiayi County,2000,73409,KMT
Tainan County,2000,159443,KMT
Kaohsiung County,2000,174021,KMT
Pingtung County,2000,142934,KMT
Taitung County,2000,28659,KMT
Hualien County,2000,36043,KMT
Penghu County,2000,10418,KMT
Keelung City,2000,48545,KMT
Hsinchu City,2000,46234,KMT
Taichung City,2000,111391,KMT
Chiayi City,2000,34670,KMT
Tainan City,2000,107679,KMT
Jinmen County,2000,3543,KMT
Lianjiang County,2000,787,KMT
National,2000,4977697,DPP
Taipei City,2000,597465,DPP
Kaohsiung City,2000,398381,DPP
Taipei County,2000,741596,DPP
Yilan County,2000,123157,DPP
Taoyuan County,2000,299120,DPP
Hsinchu County,2000,61533,DPP
Miaoli County,2000,86707,DPP
Taichung County,2000,305219,DPP
Changhua County,2000,298571,DPP
Nantou County,2000,106440,DPP
Yunlin County,2000,193715,DPP
Chiayi County,2000,157512,DPP
Tainan County,2000,347210,DPP
Kaohsiung County,2000,342553,DPP
Pingtung County,2000,238572,DPP
Taitung County,2000,28102,DPP
Hualien County,2000,40044,DPP
Penghu County,2000,16487,DPP
Keelung City,2000,69555,DPP
Hsinchu City,2000,69760,DPP
Taichung City,2000,193796,DPP
Chiayi City,2000,70124,DPP
Tainan City,2000,191261,DPP
Jinmen County,2000,759,DPP
Lianjiang County,2000,58,DPP
National,2004,6442452,DPP
Taipei City,2004,897870,DPP
Kaohsiung City,2004,398769,DPP
Taipei County,2004,1130615,DPP
Yilan County,2004,108361,DPP
Taoyuan County,2004,555688,DPP
Hsinchu County,2004,165027,DPP
Miaoli County,2004,191059,DPP
Taichung County,2004,410082,DPP
Changhua County,2004,350128,DPP
Nantou County,2004,153913,DPP
Yunlin County,2004,159906,DPP
Chiayi County,2004,118189,DPP
Tainan County,2004,229284,DPP
Kaohsiung County,2004,302937,DPP
Pingtung County,2004,215796,DPP
Taitung County,2004,76382,DPP
Hualien County,2004,126041,DPP
Penghu County,2004,22639,DPP
Keelung City,2004,132289,DPP
Hsinchu City,2004,118924,DPP
Taichung City,2004,297098,DPP
Chiayi City,2004,67176,DPP
Tainan City,2004,183786,DPP
Jinmen County,2004,26433,DPP
Lianjiang County,2004,4060,DPP
National,2004,6471970,KMT
Taipei City,2004,690379,KMT
Kaohsiung City,2004,500304,KMT
Taipei County,2004,1000265,KMT
Yilan County,2004,147848,KMT
Taoyuan County,2004,448770,KMT
Hsinchu County,2004,92576,KMT
Miaoli County,2004,123427,KMT
Taichung County,2004,440479,KMT
Changhua County,2004,383296,KMT
Nantou County,2004,146415,KMT
Yunlin County,2004,243129,KMT
Chiayi County,2004,199466,KMT
Tainan County,2004,421927,KMT
Kaohsiung County,2004,425265,KMT
Pingtung County,2004,299321,KMT
Taitung County,2004,40203,KMT
Hualien County,2004,53501,KMT
Penghu County,2004,22162,KMT
Keelung City,2004,90276,KMT
Hsinchu City,2004,96818,KMT
Taichung City,2004,267095,KMT
Chiayi City,2004,85702,KMT
Tainan City,2004,251397,KMT
Jinmen County,2004,1701,KMT
Lianjiang County,2004,248,KMT
National,2008,7659014,KMT
Taipei County,2008,1359419,KMT
Taipei City,2008,1011546,KMT
Taoyuan County,2008,693602,KMT
Kaohsiung City,2008,469252,KMT
Taichung County,2008,505698,KMT
Changhua County,2008,419700,KMT
Kaohsiung County,2008,353333,KMT
Tainan County,2008,276751,KMT
Taichung City,2008,365979,KMT
Pingtung County,2008,247305,KMT
Tainan City,2008,223034,KMT
Yunlin County,2008,187705,KMT
Miaoli County,2008,227069,KMT
Chiayi County,2008,139603,KMT
Nantou County,2008,179630,KMT
Hsinchu County,2008,208445,KMT
Yilan County,2008,130951,KMT
Hsinchu City,2008,145930,KMT
Keelung City,2008,152327,KMT
Hualien County,2008,137604,KMT
Chiayi City,2008,79713,KMT
Taitung County,2008,81668,KMT
Penghu County,2008,25037,KMT
Jinmen County,2008,33384,KMT
Lianjiang County,2008,4329,KMT
National,2008,5444949,DPP
Taipei County,2008,866915,DPP
Taipei City,2008,593256,DPP
Taoyuan County,2008,379416,DPP
Kaohsiung City,2008,440367,DPP
Taichung County,2008,353706,DPP
Changhua County,2008,309134,DPP
Kaohsiung County,2008,373900,DPP
Tainan County,2008,354409,DPP
Taichung City,2008,226751,DPP
Pingtung County,2008,249795,DPP
Tainan City,2008,216815,DPP
Yunlin County,2008,199558,DPP
Miaoli County,2008,92795,DPP
Chiayi County,2008,166833,DPP
Nantou County,2008,109955,DPP
Hsinchu County,2008,73178,DPP
Yilan County,2008,123700,DPP
Hsinchu City,2008,79634,DPP
Keelung City,2008,72562,DPP
Hualien County,2008,40003,DPP
Chiayi City,2008,72442,DPP
Taitung County,2008,29714,DPP
Penghu County,2008,18181,DPP
Jinmen County,2008,1710,DPP
Lianjiang County,2008,220,DPP
National,2012,369588,PeoplesFirstParty
New Taipei City,2012,65269,PeoplesFirstParty
Kaohsiung City,2012,39469,PeoplesFirstParty
Taipei City,2012,41448,PeoplesFirstParty
Taichung City,2012,48030,PeoplesFirstParty
Taoyuan County,2012,32927,PeoplesFirstParty
Tainan City,2012,27066,PeoplesFirstParty
Changhua County,2012,21403,PeoplesFirstParty
Pingtung County,2012,9562,PeoplesFirstParty
Yunlin County,2012,9662,PeoplesFirstParty
Miaoli County,2012,9597,PeoplesFirstParty
Chiayi County,2012,7364,PeoplesFirstParty
Nantou County,2012,8726,PeoplesFirstParty
Hsinchu County,2012,9599,PeoplesFirstParty
Yilan County,2012,6652,PeoplesFirstParty
Hsinchu City,2012,7216,PeoplesFirstParty
Keelung City,2012,8533,PeoplesFirstParty
Hualien County,2012,6359,PeoplesFirstParty
Chiayi City,2012,4042,PeoplesFirstParty
Taitung County,2012,3313,PeoplesFirstParty
Penghu County,2012,2082,PeoplesFirstParty
Jinmen County,2012,990,PeoplesFirstParty
Lianjiang County,2012,279,PeoplesFirstParty
National,2012,6891139,KMT
New Taipei City,2012,1245673,KMT
Kaohsiung City,2012,730461,KMT
Taipei City,2012,928717,KMT
Taichung City,2012,792334,KMT
Taoyuan County,2012,639151,KMT
Tainan City,2012,435274,KMT
Changhua County,2012,369968,KMT
Pingtung County,2012,211571,KMT
Yunlin County,2012,159891,KMT
Miaoli County,2012,206200,KMT
Chiayi County,2012,120946,KMT
Nantou County,2012,158703,KMT
Hsinchu County,2012,190797,KMT
Yilan County,2012,115496,KMT
Hsinchu City,2012,134728,KMT
Keelung City,2012,128294,KMT
Hualien County,2012,118815,KMT
Chiayi City,2012,69535,KMT
Taitung County,2012,72823,KMT
Penghu County,2012,22579,KMT
Jinmen County,2012,34676,KMT
Lianjiang County,2012,4507,KMT
National,2012,6093578,DPP
New Taipei City,2012,1007551,DPP
Kaohsiung City,2012,883158,DPP
Taipei City,2012,634565,DPP
Taichung City,2012,678736,DPP
Taoyuan County,2012,445308,DPP
Tainan City,2012,631232,DPP
Changhua County,2012,340069,DPP
Pingtung County,2012,271722,DPP
Yunlin County,2012,214141,DPP
Miaoli County,2012,107164,DPP
Chiayi County,2012,181463,DPP
Nantou County,2012,123077,DPP
Hsinchu County,2012,89741,DPP
Yilan County,2012,135156,DPP
Hsinchu City,2012,92632,DPP
Keelung City,2012,79562,DPP
Hualien County,2012,43845,DPP
Chiayi City,2012,76711,DPP
Taitung County,2012,33417,DPP
Penghu County,2012,20717,DPP
Jinmen County,2012,3193,DPP
Lianjiang County,2012,418,DPP
National,2016,3813365,KMT
