V1,V2,V3,V4,V5,PollN,VotesGot,CanNames,PParty
1,0,0,1,1,1,711,"謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang",Dem.Prog.Party
1,0,0,1,1,1,601,"馬英九 Ma Ying-jeou,蕭萬長 Vincent Siew",Kuo.Min.Tang
1,0,0,1,1,2,685,"謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang",Dem.Prog.Party
1,0,0,1,1,2,706,"馬英九 Ma Ying-jeou,蕭萬長 Vincent Siew",Kuo.Min.Tang
1,0,0,1,2,3,458,"謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang",Dem.Prog.Party
1,0,0,1,2,3,482,"馬英九 Ma Ying-jeou,蕭萬長 Vincent Siew",Kuo.Min.Tang
1,0,0,1,2,4,485,"謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang",Dem.Prog.Party
1,0,0,1,2,4,618,"馬英九 Ma Ying-jeou,蕭萬長 Vincent Siew",Kuo.Min.Tang
1,0,0,1,2,5,435,"謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang",Dem.Prog.Party
1,0,0,1,2,5,560,"馬英九 Ma Ying-jeou,蕭萬長 Vincent Siew",Kuo.Min.Tang
1,0,0,1,3,6,504,"謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang",Dem.Prog.Party
1,0,0,1,3,6,589,"馬英九 Ma Ying-jeou,蕭萬長 Vincent Siew",Kuo.Min.Tang
1,0,0,1,3,7,553,"謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang",Dem.Prog.Party
1,0,0,1,3,7,619,"馬英九 Ma Ying-jeou,蕭萬長 Vincent Siew",Kuo.Min.Tang
1,0,0,1,3,8,535,"謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang",Dem.Prog.Party
1,0,0,1,3,8,643,"馬英九 Ma Ying-jeou,蕭萬長 Vincent Siew",Kuo.Min.Tang
1,0,0,1,4,9,500,"謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang",Dem.Prog.Party
1,0,0,1,4,9,639,"馬英九 Ma Ying-jeou,蕭萬長 Vincent Siew",Kuo.Min.Tang
1,0,0,1,4,10,502,"謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang",Dem.Prog.Party
1,0,0,1,4,10,599,"馬英九 Ma Ying-jeou,蕭萬長 Vincent Siew",Kuo.Min.Tang
1,0,0,1,4,11,455,"謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang",Dem.Prog.Party
1,0,0,1,4,11,628,"馬英九 Ma Ying-jeou,蕭萬長 Vincent Siew",Kuo.Min.Tang
1,0,0,1,4,12,430,"謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang",Dem.Prog.Party
1,0,0,1,4,12,760,"馬英九 Ma Ying-jeou,蕭萬長 Vincent Siew",Kuo.Min.Tang
1,0,0,1,5,13,485,"謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang",Dem.Prog.Party
1,0,0,1,5,13,584,"馬英九 Ma Ying-jeou,蕭萬長 Vincent Siew",Kuo.Min.Tang
1,0,0,1,5,14,502,"謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang",Dem.Prog.Party
1,0,0,1,5,14,650,"馬英九 Ma Ying-jeou,蕭萬長 Vincent Siew",Kuo.Min.Tang
1,0,0,1,5,15,452,"謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang",Dem.Prog.Party
1,0,0,1,5,15,744,"馬英九 Ma Ying-jeou,蕭萬長 Vincent Siew",Kuo.Min.Tang
1,0,0,1,5,16,383,"謝長廷 Frank Hsieh,蘇貞昌 Su Tseng-chang",Dem.Prog.Party
